Result_ID,Result,Query_ID,Query_Natural_Language,"Worker_Assessment(Popular result=1, Unpopular result=2)"
"36848, 36858, 36868, 36878, 36888, 36899, 36909, 36920",Friedrich_L._Bauer  award  Iron_Cross Friedrich_L._Bauer  knownFor  ALGOL Friedrich_L._Bauer  birthYear  1924 htt//www.w3.org/2001/XMLSchema#gYear Friedrich_L._Bauer  field  Computer_science ,908,"Give me the name of an award-winning computer scientist, his/her birth year and what is he/she known for ? ",2
"36848, 36858, 36868, 36878, 36888, 36899, 36909, 36920",Friedrich_L._Bauer  award  Iron_Cross Friedrich_L._Bauer  knownFor  ALGOL Friedrich_L._Bauer  birthYear  1924 htt//www.w3.org/2001/XMLSchema#gYear Friedrich_L._Bauer  field  Computer_science ,908,"Give me the name of an award-winning computer scientist, his/her birth year and what is he/she known for ? ",2
"36848, 36858, 36868, 36878, 36888, 36899, 36909, 36920",Friedrich_L._Bauer  award  Iron_Cross Friedrich_L._Bauer  knownFor  ALGOL Friedrich_L._Bauer  birthYear  1924 htt//www.w3.org/2001/XMLSchema#gYear Friedrich_L._Bauer  field  Computer_science ,908,"Give me the name of an award-winning computer scientist, his/her birth year and what is he/she known for ? ",1
"36848, 36858, 36868, 36878, 36888, 36899, 36909, 36920",Friedrich_L._Bauer  award  Iron_Cross Friedrich_L._Bauer  knownFor  ALGOL Friedrich_L._Bauer  birthYear  1924 htt//www.w3.org/2001/XMLSchema#gYear Friedrich_L._Bauer  field  Computer_science ,908,"Give me the name of an award-winning computer scientist, his/her birth year and what is he/she known for ? ",2
"36848, 36858, 36868, 36878, 36888, 36899, 36909, 36920",Friedrich_L._Bauer  award  Iron_Cross Friedrich_L._Bauer  knownFor  ALGOL Friedrich_L._Bauer  birthYear  1924 htt//www.w3.org/2001/XMLSchema#gYear Friedrich_L._Bauer  field  Computer_science ,908,"Give me the name of an award-winning computer scientist, his/her birth year and what is he/she known for ? ",1
"36848, 36858, 36868, 36878, 36888, 36899, 36909, 36920",Friedrich_L._Bauer  award  Iron_Cross Friedrich_L._Bauer  knownFor  ALGOL Friedrich_L._Bauer  birthYear  1924 htt//www.w3.org/2001/XMLSchema#gYear Friedrich_L._Bauer  field  Computer_science ,908,"Give me the name of an award-winning computer scientist, his/her birth year and what is he/she known for ? ",2
34979,The_100_(TV_series)  company  Warner_Bros._Television The_100_(TV_series)  numberOfSeasons  1 htt//www.w3.org/2001/XMLSchema#nonNegativeInteger ,901,Give me the name of a sitcom that is produced by the WBs company and the number of season of that sitcom ?,1
34979,The_100_(TV_series)  company  Warner_Bros._Television The_100_(TV_series)  numberOfSeasons  1 htt//www.w3.org/2001/XMLSchema#nonNegativeInteger ,901,Give me the name of a sitcom that is produced by the WBs company and the number of season of that sitcom ?,1
34979,The_100_(TV_series)  company  Warner_Bros._Television The_100_(TV_series)  numberOfSeasons  1 htt//www.w3.org/2001/XMLSchema#nonNegativeInteger ,901,Give me the name of a sitcom that is produced by the WBs company and the number of season of that sitcom ?,1
34979,The_100_(TV_series)  company  Warner_Bros._Television The_100_(TV_series)  numberOfSeasons  1 htt//www.w3.org/2001/XMLSchema#nonNegativeInteger ,901,Give me the name of a sitcom that is produced by the WBs company and the number of season of that sitcom ?,1
34979,The_100_(TV_series)  company  Warner_Bros._Television The_100_(TV_series)  numberOfSeasons  1 htt//www.w3.org/2001/XMLSchema#nonNegativeInteger ,901,Give me the name of a sitcom that is produced by the WBs company and the number of season of that sitcom ?,2
"17455, 17465, 17475, 17485, 17495, 17505, 17515, 17525",Thomas_F._August  battle  World_War_II Thomas_F._August  restingPlace  Mount_Auburn_Cemetery ,43,"Give me the name of a person who died or fought in WW2, and his/her resting place ? ",1
"17455, 17465, 17475, 17485, 17495, 17505, 17515, 17525",Thomas_F._August  battle  World_War_II Thomas_F._August  restingPlace  Mount_Auburn_Cemetery ,43,"Give me the name of a person who died or fought in WW2, and his/her resting place ? ",2
"17455, 17465, 17475, 17485, 17495, 17505, 17515, 17525",Thomas_F._August  battle  World_War_II Thomas_F._August  restingPlace  Mount_Auburn_Cemetery ,43,"Give me the name of a person who died or fought in WW2, and his/her resting place ? ",2
"17455, 17465, 17475, 17485, 17495, 17505, 17515, 17525",Thomas_F._August  battle  World_War_II Thomas_F._August  restingPlace  Mount_Auburn_Cemetery ,43,"Give me the name of a person who died or fought in WW2, and his/her resting place ? ",2
"17455, 17465, 17475, 17485, 17495, 17505, 17515, 17525",Thomas_F._August  battle  World_War_II Thomas_F._August  restingPlace  Mount_Auburn_Cemetery ,43,"Give me the name of a person who died or fought in WW2, and his/her resting place ? ",2
"36184, 36194, 36204, 36214, 36224, 36234, 36244, 36254, 36266",College_of_the_Canyons  state  California College_of_the_Canyons  numberOfStudents  17929 htt//www.w3.org/2001/XMLSchema#nonNegativeInteger ,905,"Give me the name of a school that is located in California, and its number of students ?",2
"36184, 36194, 36204, 36214, 36224, 36234, 36244, 36254, 36266",College_of_the_Canyons  state  California College_of_the_Canyons  numberOfStudents  17929 htt//www.w3.org/2001/XMLSchema#nonNegativeInteger ,905,"Give me the name of a school that is located in California, and its number of students ?",2
"36184, 36194, 36204, 36214, 36224, 36234, 36244, 36254, 36266",College_of_the_Canyons  state  California College_of_the_Canyons  numberOfStudents  17929 htt//www.w3.org/2001/XMLSchema#nonNegativeInteger ,905,"Give me the name of a school that is located in California, and its number of students ?",1
"36184, 36194, 36204, 36214, 36224, 36234, 36244, 36254, 36266",College_of_the_Canyons  state  California College_of_the_Canyons  numberOfStudents  17929 htt//www.w3.org/2001/XMLSchema#nonNegativeInteger ,905,"Give me the name of a school that is located in California, and its number of students ?",2
"36184, 36194, 36204, 36214, 36224, 36234, 36244, 36254, 36266",College_of_the_Canyons  state  California College_of_the_Canyons  numberOfStudents  17929 htt//www.w3.org/2001/XMLSchema#nonNegativeInteger ,905,"Give me the name of a school that is located in California, and its number of students ?",2
"36184, 36194, 36204, 36214, 36224, 36234, 36244, 36254, 36266",College_of_the_Canyons  state  California College_of_the_Canyons  numberOfStudents  17929 htt//www.w3.org/2001/XMLSchema#nonNegativeInteger ,905,"Give me the name of a school that is located in California, and its number of students ?",2
"36184, 36194, 36204, 36214, 36224, 36234, 36244, 36254, 36266",College_of_the_Canyons  state  California College_of_the_Canyons  numberOfStudents  17929 htt//www.w3.org/2001/XMLSchema#nonNegativeInteger ,905,"Give me the name of a school that is located in California, and its number of students ?",2
"36184, 36194, 36204, 36214, 36224, 36234, 36244, 36254, 36266",College_of_the_Canyons  state  California College_of_the_Canyons  numberOfStudents  17929 htt//www.w3.org/2001/XMLSchema#nonNegativeInteger ,905,"Give me the name of a school that is located in California, and its number of students ?",2
"41883, 41893, 41873, 41903, 41913, 41923, 41933, 41943, 41953, 41963, 42013, 42023, 42033, 42043, 42053, 42108, 42114, 42133, 42123, 42143",Citizen_Kane  starring  Orson_Welles The_Lady_from_Shanghai  starring  Rita_Hayworth Orson_Welles  spouse  Rita_Hayworth Citizen_Kane  director  Orson_Welles The_Lady_from_Shanghai  director  Orson_Welles ,926,Give me the name of a couple who worked with the same director ? and the name of that director ?,1
"41883, 41893, 41873, 41903, 41913, 41923, 41933, 41943, 41953, 41963, 42013, 42023, 42033, 42043, 42053, 42108, 42114, 42133, 42123, 42143",Citizen_Kane  starring  Orson_Welles The_Lady_from_Shanghai  starring  Rita_Hayworth Orson_Welles  spouse  Rita_Hayworth Citizen_Kane  director  Orson_Welles The_Lady_from_Shanghai  director  Orson_Welles ,926,Give me the name of a couple who worked with the same director ? and the name of that director ?,1
"41883, 41893, 41873, 41903, 41913, 41923, 41933, 41943, 41953, 41963, 42013, 42023, 42033, 42043, 42053, 42108, 42114, 42133, 42123, 42143",Citizen_Kane  starring  Orson_Welles The_Lady_from_Shanghai  starring  Rita_Hayworth Orson_Welles  spouse  Rita_Hayworth Citizen_Kane  director  Orson_Welles The_Lady_from_Shanghai  director  Orson_Welles ,926,Give me the name of a couple who worked with the same director ? and the name of that director ?,1
"41883, 41893, 41873, 41903, 41913, 41923, 41933, 41943, 41953, 41963, 42013, 42023, 42033, 42043, 42053, 42108, 42114, 42133, 42123, 42143",Citizen_Kane  starring  Orson_Welles The_Lady_from_Shanghai  starring  Rita_Hayworth Orson_Welles  spouse  Rita_Hayworth Citizen_Kane  director  Orson_Welles The_Lady_from_Shanghai  director  Orson_Welles ,926,Give me the name of a couple who worked with the same director ? and the name of that director ?,1
"41883, 41893, 41873, 41903, 41913, 41923, 41933, 41943, 41953, 41963, 42013, 42023, 42033, 42043, 42053, 42108, 42114, 42133, 42123, 42143",Citizen_Kane  starring  Orson_Welles The_Lady_from_Shanghai  starring  Rita_Hayworth Orson_Welles  spouse  Rita_Hayworth Citizen_Kane  director  Orson_Welles The_Lady_from_Shanghai  director  Orson_Welles ,926,Give me the name of a couple who worked with the same director ? and the name of that director ?,2
34606,Ramanichandran  genre  Romance_novel Ramanichandran  birthPlace  India ,900,Give me the name of a romance novel writer and his birth place ?,2
34606,Ramanichandran  genre  Romance_novel Ramanichandran  birthPlace  India ,900,Give me the name of a romance novel writer and his birth place ?,2
34606,Ramanichandran  genre  Romance_novel Ramanichandran  birthPlace  India ,900,Give me the name of a romance novel writer and his birth place ?,2
34606,Ramanichandran  genre  Romance_novel Ramanichandran  birthPlace  India ,900,Give me the name of a romance novel writer and his birth place ?,2
34606,Ramanichandran  genre  Romance_novel Ramanichandran  birthPlace  India ,900,Give me the name of a romance novel writer and his birth place ?,1
"44495, 44508, 44518, 44528, 44539, 44549, 44561",Cujo  author  Stephen_King Cujo  publisher  Viking_Press ,934,Give me the name of a publisher that one of Stephen King's book was published by ? ,2
"44495, 44508, 44518, 44528, 44539, 44549, 44561",Cujo  author  Stephen_King Cujo  publisher  Viking_Press ,934,Give me the name of a publisher that one of Stephen King's book was published by ? ,1
"44495, 44508, 44518, 44528, 44539, 44549, 44561",Cujo  author  Stephen_King Cujo  publisher  Viking_Press ,934,Give me the name of a publisher that one of Stephen King's book was published by ? ,1
"44495, 44508, 44518, 44528, 44539, 44549, 44561",Cujo  author  Stephen_King Cujo  publisher  Viking_Press ,934,Give me the name of a publisher that one of Stephen King's book was published by ? ,1
"44495, 44508, 44518, 44528, 44539, 44549, 44561",Cujo  author  Stephen_King Cujo  publisher  Viking_Press ,934,Give me the name of a publisher that one of Stephen King's book was published by ? ,1
"47476, 47498, 47507, 47516, 47526, 47536, 47546, 47556, 47566, 47587, 47597, 47608, 47618, 47628, 47637, 47646, 47656",Broken_Blossoms  director  D._W._Griffith Broken_Blossoms  writer  D._W._Griffith ,918,Give me the name of a writer who wrote a movie directed by D.W. Griffith ?,1
"47476, 47498, 47507, 47516, 47526, 47536, 47546, 47556, 47566, 47587, 47597, 47608, 47618, 47628, 47637, 47646, 47656",Broken_Blossoms  director  D._W._Griffith Broken_Blossoms  writer  D._W._Griffith ,918,Give me the name of a writer who wrote a movie directed by D.W. Griffith ?,2
"47476, 47498, 47507, 47516, 47526, 47536, 47546, 47556, 47566, 47587, 47597, 47608, 47618, 47628, 47637, 47646, 47656",Broken_Blossoms  director  D._W._Griffith Broken_Blossoms  writer  D._W._Griffith ,918,Give me the name of a writer who wrote a movie directed by D.W. Griffith ?,2
"47476, 47498, 47507, 47516, 47526, 47536, 47546, 47556, 47566, 47587, 47597, 47608, 47618, 47628, 47637, 47646, 47656",Broken_Blossoms  director  D._W._Griffith Broken_Blossoms  writer  D._W._Griffith ,918,Give me the name of a writer who wrote a movie directed by D.W. Griffith ?,2
"47476, 47498, 47507, 47516, 47526, 47536, 47546, 47556, 47566, 47587, 47597, 47608, 47618, 47628, 47637, 47646, 47656",Broken_Blossoms  director  D._W._Griffith Broken_Blossoms  writer  D._W._Griffith ,918,Give me the name of a writer who wrote a movie directed by D.W. Griffith ?,1
"47476, 47498, 47507, 47516, 47526, 47536, 47546, 47556, 47566, 47587, 47597, 47608, 47618, 47628, 47637, 47646, 47656",Broken_Blossoms  director  D._W._Griffith Broken_Blossoms  writer  D._W._Griffith ,918,Give me the name of a writer who wrote a movie directed by D.W. Griffith ?,2
"47476, 47498, 47507, 47516, 47526, 47536, 47546, 47556, 47566, 47587, 47597, 47608, 47618, 47628, 47637, 47646, 47656",Broken_Blossoms  director  D._W._Griffith Broken_Blossoms  writer  D._W._Griffith ,918,Give me the name of a writer who wrote a movie directed by D.W. Griffith ?,1
"47476, 47498, 47507, 47516, 47526, 47536, 47546, 47556, 47566, 47587, 47597, 47608, 47618, 47628, 47637, 47646, 47656",Broken_Blossoms  director  D._W._Griffith Broken_Blossoms  writer  D._W._Griffith ,918,Give me the name of a writer who wrote a movie directed by D.W. Griffith ?,2
"36285, 36298, 36309",Peter_Jackson  spouse  Fran_Walsh Peter_Jackson  occupation  Screenwriter Fran_Walsh  occupation  Screenwriter ,906,Give me the names of two married people who have the same job ?,1
"36285, 36298, 36309",Peter_Jackson  spouse  Fran_Walsh Peter_Jackson  occupation  Screenwriter Fran_Walsh  occupation  Screenwriter ,906,Give me the names of two married people who have the same job ?,1
"36285, 36298, 36309",Peter_Jackson  spouse  Fran_Walsh Peter_Jackson  occupation  Screenwriter Fran_Walsh  occupation  Screenwriter ,906,Give me the names of two married people who have the same job ?,1
"36285, 36298, 36309",Peter_Jackson  spouse  Fran_Walsh Peter_Jackson  occupation  Screenwriter Fran_Walsh  occupation  Screenwriter ,906,Give me the names of two married people who have the same job ?,1
"36285, 36298, 36309",Peter_Jackson  spouse  Fran_Walsh Peter_Jackson  occupation  Screenwriter Fran_Walsh  occupation  Screenwriter ,906,Give me the names of two married people who have the same job ?,1
"36285, 36298, 36309",Peter_Jackson  spouse  Fran_Walsh Peter_Jackson  occupation  Screenwriter Fran_Walsh  occupation  Screenwriter ,906,Give me the names of two married people who have the same job ?,1
"36285, 36298, 36309",Peter_Jackson  spouse  Fran_Walsh Peter_Jackson  occupation  Screenwriter Fran_Walsh  occupation  Screenwriter ,906,Give me the names of two married people who have the same job ?,2
"36285, 36298, 36309",Peter_Jackson  spouse  Fran_Walsh Peter_Jackson  occupation  Screenwriter Fran_Walsh  occupation  Screenwriter ,906,Give me the names of two married people who have the same job ?,2
"16802, 16718, 16813, 16824, 16835, 16846",Peter_Saville_(graphic_designer)  occupation  Art_director Peter_Saville_(graphic_designer)  birthYear  1955 htt//www.w3.org/2001/XMLSchema#gYear Peter_Saville_(graphic_designer)  birthPlace  Manchester ,41,Give me the name of an art director ? his birth place ? and his birth year ?,2
"16802, 16718, 16813, 16824, 16835, 16846",Peter_Saville_(graphic_designer)  occupation  Art_director Peter_Saville_(graphic_designer)  birthYear  1955 htt//www.w3.org/2001/XMLSchema#gYear Peter_Saville_(graphic_designer)  birthPlace  Manchester ,41,Give me the name of an art director ? his birth place ? and his birth year ?,2
"16802, 16718, 16813, 16824, 16835, 16846",Peter_Saville_(graphic_designer)  occupation  Art_director Peter_Saville_(graphic_designer)  birthYear  1955 htt//www.w3.org/2001/XMLSchema#gYear Peter_Saville_(graphic_designer)  birthPlace  Manchester ,41,Give me the name of an art director ? his birth place ? and his birth year ?,2
"16802, 16718, 16813, 16824, 16835, 16846",Peter_Saville_(graphic_designer)  occupation  Art_director Peter_Saville_(graphic_designer)  birthYear  1955 htt//www.w3.org/2001/XMLSchema#gYear Peter_Saville_(graphic_designer)  birthPlace  Manchester ,41,Give me the name of an art director ? his birth place ? and his birth year ?,1
"16802, 16718, 16813, 16824, 16835, 16846",Peter_Saville_(graphic_designer)  occupation  Art_director Peter_Saville_(graphic_designer)  birthYear  1955 htt//www.w3.org/2001/XMLSchema#gYear Peter_Saville_(graphic_designer)  birthPlace  Manchester ,41,Give me the name of an art director ? his birth place ? and his birth year ?,2
"16802, 16718, 16813, 16824, 16835, 16846",Peter_Saville_(graphic_designer)  occupation  Art_director Peter_Saville_(graphic_designer)  birthYear  1955 htt//www.w3.org/2001/XMLSchema#gYear Peter_Saville_(graphic_designer)  birthPlace  Manchester ,41,Give me the name of an art director ? his birth place ? and his birth year ?,1
"39546, 39556, 39566, 39576, 39586, 39596, 39606, 39616, 39626",New_York_City  timeZone  Eastern_Time_Zone Kittamaqundi  timeZone  Eastern_Time_Zone ,917,Give me the name of a city that has the same time zone as New York's,2
"39546, 39556, 39566, 39576, 39586, 39596, 39606, 39616, 39626",New_York_City  timeZone  Eastern_Time_Zone Kittamaqundi  timeZone  Eastern_Time_Zone ,917,Give me the name of a city that has the same time zone as New York's,1
"39546, 39556, 39566, 39576, 39586, 39596, 39606, 39616, 39626",New_York_City  timeZone  Eastern_Time_Zone Kittamaqundi  timeZone  Eastern_Time_Zone ,917,Give me the name of a city that has the same time zone as New York's,2
"39546, 39556, 39566, 39576, 39586, 39596, 39606, 39616, 39626",New_York_City  timeZone  Eastern_Time_Zone Kittamaqundi  timeZone  Eastern_Time_Zone ,917,Give me the name of a city that has the same time zone as New York's,1
"39546, 39556, 39566, 39576, 39586, 39596, 39606, 39616, 39626",New_York_City  timeZone  Eastern_Time_Zone Kittamaqundi  timeZone  Eastern_Time_Zone ,917,Give me the name of a city that has the same time zone as New York's,2
"38240, 38251, 38261, 38271, 38281, 38291, 38301, 38311, 38321, 38331, 38431, 38441, 38451, 38461, 38471, 38481, 38491, 38501, 38511",Carl_Braun_(basketball)  position  Shooting_guard Carl_Braun_(basketball)  birthPlace  New_York Carl_Braun_(basketball)  weight  81648.0 htt//www.w3.org/2001/XMLSchema#double Carl_Braun_(basketball)  height  1.9558 htt//www.w3.org/2001/XMLSchema#double ,913,"Give me the name of a shooting guard (player) who was born in New York city, his height and weight ?",1
"38240, 38251, 38261, 38271, 38281, 38291, 38301, 38311, 38321, 38331, 38431, 38441, 38451, 38461, 38471, 38481, 38491, 38501, 38511",Carl_Braun_(basketball)  position  Shooting_guard Carl_Braun_(basketball)  birthPlace  New_York Carl_Braun_(basketball)  weight  81648.0 htt//www.w3.org/2001/XMLSchema#double Carl_Braun_(basketball)  height  1.9558 htt//www.w3.org/2001/XMLSchema#double ,913,"Give me the name of a shooting guard (player) who was born in New York city, his height and weight ?",2
"38240, 38251, 38261, 38271, 38281, 38291, 38301, 38311, 38321, 38331, 38431, 38441, 38451, 38461, 38471, 38481, 38491, 38501, 38511",Carl_Braun_(basketball)  position  Shooting_guard Carl_Braun_(basketball)  birthPlace  New_York Carl_Braun_(basketball)  weight  81648.0 htt//www.w3.org/2001/XMLSchema#double Carl_Braun_(basketball)  height  1.9558 htt//www.w3.org/2001/XMLSchema#double ,913,"Give me the name of a shooting guard (player) who was born in New York city, his height and weight ?",1
"38240, 38251, 38261, 38271, 38281, 38291, 38301, 38311, 38321, 38331, 38431, 38441, 38451, 38461, 38471, 38481, 38491, 38501, 38511",Carl_Braun_(basketball)  position  Shooting_guard Carl_Braun_(basketball)  birthPlace  New_York Carl_Braun_(basketball)  weight  81648.0 htt//www.w3.org/2001/XMLSchema#double Carl_Braun_(basketball)  height  1.9558 htt//www.w3.org/2001/XMLSchema#double ,913,"Give me the name of a shooting guard (player) who was born in New York city, his height and weight ?",2
"38240, 38251, 38261, 38271, 38281, 38291, 38301, 38311, 38321, 38331, 38431, 38441, 38451, 38461, 38471, 38481, 38491, 38501, 38511",Carl_Braun_(basketball)  position  Shooting_guard Carl_Braun_(basketball)  birthPlace  New_York Carl_Braun_(basketball)  weight  81648.0 htt//www.w3.org/2001/XMLSchema#double Carl_Braun_(basketball)  height  1.9558 htt//www.w3.org/2001/XMLSchema#double ,913,"Give me the name of a shooting guard (player) who was born in New York city, his height and weight ?",1
"38240, 38251, 38261, 38271, 38281, 38291, 38301, 38311, 38321, 38331, 38431, 38441, 38451, 38461, 38471, 38481, 38491, 38501, 38511",Carl_Braun_(basketball)  position  Shooting_guard Carl_Braun_(basketball)  birthPlace  New_York Carl_Braun_(basketball)  weight  81648.0 htt//www.w3.org/2001/XMLSchema#double Carl_Braun_(basketball)  height  1.9558 htt//www.w3.org/2001/XMLSchema#double ,913,"Give me the name of a shooting guard (player) who was born in New York city, his height and weight ?",2
"37519, 37530",Heat_of_the_Night  producer  Bryan_Adams Heat_of_the_Night  producer  Bryan_Adams Bryan_Adams  birthPlace  Canada Bryan_Adams  birthPlace  Canada Canada  largestCity  Toronto Canada  capital  Ottawa ,910,"Give me the name of a movie that two of its producers were born in the same country, the largest city in that country and its capital ?",2
"37519, 37530",Heat_of_the_Night  producer  Bryan_Adams Heat_of_the_Night  producer  Bryan_Adams Bryan_Adams  birthPlace  Canada Bryan_Adams  birthPlace  Canada Canada  largestCity  Toronto Canada  capital  Ottawa ,910,"Give me the name of a movie that two of its producers were born in the same country, the largest city in that country and its capital ?",1
"37519, 37530",Heat_of_the_Night  producer  Bryan_Adams Heat_of_the_Night  producer  Bryan_Adams Bryan_Adams  birthPlace  Canada Bryan_Adams  birthPlace  Canada Canada  largestCity  Toronto Canada  capital  Ottawa ,910,"Give me the name of a movie that two of its producers were born in the same country, the largest city in that country and its capital ?",2
"37519, 37530",Heat_of_the_Night  producer  Bryan_Adams Heat_of_the_Night  producer  Bryan_Adams Bryan_Adams  birthPlace  Canada Bryan_Adams  birthPlace  Canada Canada  largestCity  Toronto Canada  capital  Ottawa ,910,"Give me the name of a movie that two of its producers were born in the same country, the largest city in that country and its capital ?",1
"37519, 37530",Heat_of_the_Night  producer  Bryan_Adams Heat_of_the_Night  producer  Bryan_Adams Bryan_Adams  birthPlace  Canada Bryan_Adams  birthPlace  Canada Canada  largestCity  Toronto Canada  capital  Ottawa ,910,"Give me the name of a movie that two of its producers were born in the same country, the largest city in that country and its capital ?",2
"37519, 37530",Heat_of_the_Night  producer  Bryan_Adams Heat_of_the_Night  producer  Bryan_Adams Bryan_Adams  birthPlace  Canada Bryan_Adams  birthPlace  Canada Canada  largestCity  Toronto Canada  capital  Ottawa ,910,"Give me the name of a movie that two of its producers were born in the same country, the largest city in that country and its capital ?",1
"37519, 37530",Heat_of_the_Night  producer  Bryan_Adams Heat_of_the_Night  producer  Bryan_Adams Bryan_Adams  birthPlace  Canada Bryan_Adams  birthPlace  Canada Canada  largestCity  Toronto Canada  capital  Ottawa ,910,"Give me the name of a movie that two of its producers were born in the same country, the largest city in that country and its capital ?",1
"34693, 34703",Mary_Howard_(romance_novelist)  genre  Romance_novel Mary_Howard_(romance_novelist)  birthPlace  England ,900,Give me the name of a romance novel writer and his birth place ?,2
"34693, 34703",Mary_Howard_(romance_novelist)  genre  Romance_novel Mary_Howard_(romance_novelist)  birthPlace  England ,900,Give me the name of a romance novel writer and his birth place ?,1
"34693, 34703",Mary_Howard_(romance_novelist)  genre  Romance_novel Mary_Howard_(romance_novelist)  birthPlace  England ,900,Give me the name of a romance novel writer and his birth place ?,2
"34693, 34703",Mary_Howard_(romance_novelist)  genre  Romance_novel Mary_Howard_(romance_novelist)  birthPlace  England ,900,Give me the name of a romance novel writer and his birth place ?,2
"34693, 34703",Mary_Howard_(romance_novelist)  genre  Romance_novel Mary_Howard_(romance_novelist)  birthPlace  England ,900,Give me the name of a romance novel writer and his birth place ?,1
"12134, 12144, 12154, 12164, 12174, 12184, 12194, 12204, 12214",Mobile_Web_Server  programmingLanguage  C++ Mobile_Web_Server  programmingLanguage  Java_(programming_language) ,37,Give me the name of a software that has been written in both JAVA and C++ programming languages ?,2
"12134, 12144, 12154, 12164, 12174, 12184, 12194, 12204, 12214",Mobile_Web_Server  programmingLanguage  C++ Mobile_Web_Server  programmingLanguage  Java_(programming_language) ,37,Give me the name of a software that has been written in both JAVA and C++ programming languages ?,1
"12134, 12144, 12154, 12164, 12174, 12184, 12194, 12204, 12214",Mobile_Web_Server  programmingLanguage  C++ Mobile_Web_Server  programmingLanguage  Java_(programming_language) ,37,Give me the name of a software that has been written in both JAVA and C++ programming languages ?,2
"12134, 12144, 12154, 12164, 12174, 12184, 12194, 12204, 12214",Mobile_Web_Server  programmingLanguage  C++ Mobile_Web_Server  programmingLanguage  Java_(programming_language) ,37,Give me the name of a software that has been written in both JAVA and C++ programming languages ?,1
