Query_ID,Query_Natural_Language,Query_Type,ModelX,ModelY,User_Choice,Comment/Explanation
198,List of Oxford graduates ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,same
199,List of creators and directors who worked in the same show ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,A bigger variaty in Y
199,List of creators and directors who worked in the same show ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y has got more different tv shows.
199,List of creators and directors who worked in the same show ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,Y is more diverse.
200,List of comedy writers who are married to sitcom-producers ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,x set is a better
200,List of comedy writers who are married to sitcom-producers ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,x - less duplicates
200,List of comedy writers who are married to sitcom-producers ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,X and Y both answer the question
201,List of Christmas movies; their stars and directors ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,same
201,List of Christmas movies; their stars and directors ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,List are the same
201,List of Christmas movies; their stars and directors ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,Y is more diverse.
202,List of death places of wedding-movie writers ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,same
202,List of death places of wedding-movie writers ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,List are the same
202,List of death places of wedding-movie writers ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y is a better
203,List of Bette Davis movies with her late co-stars ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Relevance-only Approach,y partially answers the question
203,List of Bette Davis movies with her late co-stars ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Relevance-only Approach,x - smth else
203,List of Bette Davis movies with her late co-stars ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,"In X, we see a variety of Bette Davis"
204,List of late comedy directors; their death places and dates ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,A bigger variety in X
204,List of late comedy directors; their death places and dates ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,x has got more comedian directors than y.
204,List of late comedy directors; their death places and dates ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,X is more diverse.
205,List of actors-authors ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,x - less duplicates
205,List of actors-authors ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,X and Y both answer the question
205,List of actors-authors ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,x is a better
206,List of Grammy Awards wining producers who were born in NYC ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y
206,List of Grammy Awards wining producers who were born in NYC ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y - less duplicates
206,List of Grammy Awards wining producers who were born in NYC ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y set is a better
207,List of award-wining authors ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y is more diverse.
207,List of award-wining authors ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y is a better
207,List of award-wining authors ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y - less duplicates
242,List of producers who had worked with Frank Sinatra ?,Triple-pattern queries with zero results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Relevance-only Approach,x - wrong
242,List of producers who had worked with Frank Sinatra ?,Triple-pattern queries with zero results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Relevance-only Approach,y
242,List of producers who had worked with Frank Sinatra ?,Triple-pattern queries with zero results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Relevance-only Approach,y set is a better
243,List of national-book-award winning thriller novels ?,Triple-pattern queries with zero results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,x is a better
243,List of national-book-award winning thriller novels ?,Triple-pattern queries with zero results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,x - less duplicates
243,List of national-book-award winning thriller novels ?,Triple-pattern queries with zero results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,it's better
244,List of movies starred by both Frank Sinatra and John Mahoney ?,Triple-pattern queries with zero results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,y - only Sinatra
244,List of movies starred by both Frank Sinatra and John Mahoney ?,Triple-pattern queries with zero results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,x
244,List of movies starred by both Frank Sinatra and John Mahoney ?,Triple-pattern queries with zero results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,x set is a better
245,List of comedy movies starred by a couple and directed by Frank Sinatra ?,Extended triple pattern queries with zero results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,x
245,List of comedy movies starred by a couple and directed by Frank Sinatra ?,Extended triple pattern queries with zero results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,both bad
245,List of comedy movies starred by a couple and directed by Frank Sinatra ?,Extended triple pattern queries with zero results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,same
246,List of Woody Allen movies that Dick Hyman worked on ?,Triple-pattern queries with zero results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Relevance-only Approach,Y partially answers the question.
246,List of Woody Allen movies that Dick Hyman worked on ?,Triple-pattern queries with zero results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Relevance-only Approach,x - not that
246,List of Woody Allen movies that Dick Hyman worked on ?,Triple-pattern queries with zero results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,"In X, we see a variety of Woody Allen"
247,List of egyptian writers  ?,Extended triple pattern queries with zero results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,"xfully answers the question, y barely features egyptian authors"
247,List of egyptian writers  ?,Extended triple pattern queries with zero results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,x is a better
247,List of egyptian writers  ?,Extended triple pattern queries with zero results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,x - more Egypt
248,List of doctors who graduated from the University of Oxford ?,Triple-pattern queries with zero results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,same
248,List of doctors who graduated from the University of Oxford ?,Triple-pattern queries with zero results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,same
248,List of doctors who graduated from the University of Oxford ?,Triple-pattern queries with zero results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Relevance-only Approach,y is a better
249,List of movies produced by Woody Allen and directed by Scarlett Johansson ?,Triple-pattern queries with zero results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,X is mostly about same things
249,List of movies produced by Woody Allen and directed by Scarlett Johansson ?,Triple-pattern queries with zero results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,is most variability
249,List of movies produced by Woody Allen and directed by Scarlett Johansson ?,Triple-pattern queries with zero results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,Both partially answer the question.
250,List of movies created by John Mahoney and starred by Jane Leeves ?,Triple-pattern queries with zero results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Relevance-only Approach,x -1-0
250,List of movies created by John Mahoney and starred by Jane Leeves ?,Triple-pattern queries with zero results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,X is about Frasier mostly
250,List of movies created by John Mahoney and starred by Jane Leeves ?,Triple-pattern queries with zero results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Relevance-only Approach,x is a better
251,List of Woody Allen movies writers ?,Triple-pattern queries with zero results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Relevance-only Approach,in this List only Woody Allen movies writers
251,List of Woody Allen movies writers ?,Triple-pattern queries with zero results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,Y is more diverse.
251,List of Woody Allen movies writers ?,Triple-pattern queries with zero results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y - less duplicates
252,List of Brazilian actors ?,Extended triple pattern queries with zero results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Relevance-only Approach,x better
252,List of Brazilian actors ?,Extended triple pattern queries with zero results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Relevance-only Approach,X better
252,List of Brazilian actors ?,Extended triple pattern queries with zero results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y set is a better
253,List of people who were born in Agatha Christie's death place; and who graduated from Oxford ?,Triple-pattern queries with zero results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,same
253,List of people who were born in Agatha Christie's death place; and who graduated from Oxford ?,Triple-pattern queries with zero results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Relevance-only Approach,answer the questionm
253,List of people who were born in Agatha Christie's death place; and who graduated from Oxford ?,Triple-pattern queries with zero results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,x is a better
894,List of movies that were directed by one of their stars ?,Triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,they are totally same.
894,List of movies that were directed by one of their stars ?,Triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,same
894,List of movies that were directed by one of their stars ?,Triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,the same list answer the question
895,List of movies starred by couples; and their directors ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,they have got same numbers of couples; and their directors
895,List of movies starred by couples; and their directors ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,same
